recording_id,user_id,language,segment_id,start_sec,end_sec,duration_sec,audio_path,text
238079,93626,hi,0,37.54,42.7,5.16,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0000.wav,ओके
238079,93626,hi,1,45.58,58.39,12.81,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0001.wav,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ
238079,93626,hi,2,58.84,61.93,3.09,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0002.wav,यही है आप आपका क्या है
238079,93626,hi,3,64.81,69.19,4.38,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0003.wav,अच्छा
238079,93626,hi,4,81.22,87.88,6.66,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0004.wav,जी हां हां
238079,93626,hi,5,108.16,111.25,3.09,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0005.wav,हां अच्छा
238079,93626,hi,6,123.07,126.28,3.21,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0006.wav,जी जी .
238079,93626,hi,7,148.66,153.64,4.98,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0007.wav,हुन
238079,93626,hi,8,171.79,176.41,4.62,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0008.wav,जी जी
238079,93626,hi,9,179.41,187.06,7.65,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0009.wav,ह्यू
238079,93626,hi,10,192.13,205.45,13.32,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0010.wav,REDACTED
238079,93626,hi,11,206.08,217.27,11.19,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0011.wav,REDACTED
238079,93626,hi,12,234.01,248.59,14.58,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0012.wav,जी जी
238079,93626,hi,13,249.13,263.32,14.19,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0013.wav,मेरे हिसाब से मतलब जो हम लोगों का जॉब है वो ऐसा होना चाहिए कि वो मतलब वो काम आपके मतलब आपको करने में मजा आए एक
238079,93626,hi,14,263.32,277.57,14.25,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0014.wav,क ये काम होना चाहिए अब ऐसा काम अगर मिल जाए आ जिसमें आपको वो करने में आपको अ मन ना लगे या फिर आपको जो करना चाहे जबरदस्ती आप कर रहे हो तो फिर वो आप मतलब वो काम सही से नहीं हो पाते मेरा ये मानना है
238079,93626,hi,15,277.6,291.49,13.89,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0015.wav,अगर आप ऐसे ही काम को ऐसे करियर को चूज करते हैं जिसमें मतलब अ आपका मन भी लगता रहे एंड आपको वो आपको वो करने में मज़ा आए आपको बतलब री अ बाद में पश्तावा ना हो कि ये मैंने क्यों कर लिया ये मुझे नहीं करना चाहिए था
238079,93626,hi,16,291.55,295.9,4.35,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0016.wav,तो आ ऐसा नहीं होना चाहिए मेरा ये ख्याल है
238079,93626,hi,17,298.54,302.65,4.11,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0017.wav,हम्म
238079,93626,hi,18,306.91,315.1,8.19,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0018.wav,REDACTED
238079,93626,hi,19,321.37,330.16,8.79,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0019.wav,जी जी आवाज
238079,93626,hi,20,333.16,348.13,14.97,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0020.wav,REDACTED
238079,93626,hi,21,348.28,362.98,14.7,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0021.wav,REDACTED
238079,93626,hi,22,378.1,392.2,14.1,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q1/preprocess/segments/238079_0022.wav,REDACTED
