recording_id,segment_id,duration_sec,audio_path,reference_text,raw_asr_text
238079,0,5.16,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0000.wav,ओके,अग्टीः
238079,1,12.81,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0001.wav,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ,अपने अरगा तो मेरा है की मुझे प्रफेशर बना हें तु फिलाल मैं वो देखरी हूं उसके उशका परपेच्ट्विन कर लिन अं अम
238079,2,3.09,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0002.wav,यही है आप आपका क्या है,अप आपका क्या है
238079,3,4.38,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0003.wav,अच्छा,अच्व
238079,4,6.66,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0004.wav,जी हां हां,वग़ा
238079,5,3.09,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0005.wav,हां अच्छा,और वाँच्वा
238079,6,3.21,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0006.wav,जी जी .,जेजी
238079,7,4.98,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0007.wav,हुन,भी अगर बाँदा वादी तो वो आप वेगागे विए वीएगी वहाजा तुवार वुर्ठावे लिग़ा पाचाए कर ताईग तर प्रच्छाः वर्र था आत वगो ते आना अत बगुत आर्मच़ ती आम पर आ व्गिट आंपा और गई वैग़्े तिवट
238079,8,4.62,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0008.wav,जी जी,जीजी
238079,9,7.65,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0009.wav,ह्यू,अग
238079,10,13.32,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0010.wav,REDACTED,अप अर्वाँ बादा अस्पार्र्याव अन्धाराश़्ाई अत्रद अम्च्छाए अंचाः अह्ँईविएगागेगग
238079,11,11.19,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0011.wav,REDACTED,अप अर्वाँ बादा अस्पार्र्याव अन्धाराश़्ाई अत्टाएगागे अ अम्च्छाः अंचाइव्ग़्दिए अह्ँईविशाउगर् अक्शिवग्ष्ड़ई क्यवेशे तेखाज़े विस्स्योग अया वो अल्बा बद्ख्जाअग क्रदेगी अिप्ढ़िज्ठाऊँ क्ईस्ताच़ी तो आपने प्रिछ़ तर्सब्रानापच अ्थाआई
238079,12,14.58,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0012.wav,जी जी,अच्वाँई तावग़ा वार्ँाउगाई
238079,13,14.19,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0013.wav,मेरे हिसाब से मतलब जो हम लोगों का जॉब है वो ऐसा होना चाहिए कि वो मतलब वो काम आपके मतलब आपको करने में मजा आए एक,"अपको करने मजा है, एक लिए तर वो था एगा वहाँ तुवाग ता अर्वें तो वे तेदा प्रदे लेगे थे विग़ा ती तव्गी वार्ते रहा हो त्रे अंगर तिद्बाद तैदिवों थी थो आप वर्र थिप्टा थूप."
238079,14,14.25,/kaggle/working/Hindi-ASR-Whisper-Pipeline/artifacts/q2/preprocess/segments/238079_0014.wav,क ये काम होना चाहिए अब ऐसा काम अगर मिल जाए आ जिसमें आपको वो करने में आपको अ मन ना लगे या फिर आपको जो करना चाहे जबरदस्ती आप कर रहे हो तो फिर वो आप मतलब वो काम सही से नहीं हो पाते मेरा ये मानना है,अप यह खाम सहीं से नहीख हो बाता है में ना ये मान नै
